,District Number,District Name,School Number,School Name,Demo Group,2018 EBRW,2018 Math,2018 Overall,Zip Code,Median Family Income,Population
0,0010,mapleton 1,0212,mapleton early college high school,Female,472,438,910,80229,54249.0,51224.0
1,0010,mapleton 1,1796,colorado connections academy,Female,496,444,940,80112,96200.0,30342.0
2,0010,mapleton 1,1796,colorado connections academy,Male,504,480,984,80112,96200.0,30342.0
3,0010,mapleton 1,0187,mapleton expeditionary school of the arts,Male,467,474,941,80299,,
4,0010,mapleton 1,0212,mapleton early college high school,Male,454,444,898,80229,54249.0,51224.0
5,0010,mapleton 1,0503,york international,Female,497,466,963,80229,54249.0,51224.0
6,0010,mapleton 1,0263,global leadership academy,Male,443,450,893,80221,51699.0,40341.0
7,0010,mapleton 1,0263,global leadership academy,Female,442,425,867,80221,51699.0,40341.0
8,0010,mapleton 1,0503,york international,Male,492,492,985,80229,54249.0,51224.0
9,0010,mapleton 1,0187,mapleton expeditionary school of the arts,Female,479,458,937,80299,,
10,0010,mapleton 1,0309,academy high school,Female,446,416,861,80229,54249.0,51224.0
11,0010,mapleton 1,0309,academy high school,Male,455,444,899,80229,54249.0,51224.0
12,0020,adams 12 five star schools,1519,stargate charter school,Male,649,650,1299,80023,126327.0,17186.0
13,0020,adams 12 five star schools,0210,vantage point,Male,403,381,784,80234,76996.0,26289.0
14,0020,adams 12 five star schools,0210,vantage point,Female,404,384,788,80234,76996.0,26289.0
15,0020,adams 12 five star schools,5816,thornton high school,Male,437,430,867,80229,54249.0,51224.0
16,0020,adams 12 five star schools,5816,thornton high school,Female,449,426,876,80229,54249.0,51224.0
17,0020,adams 12 five star schools,6402,northglenn high school,Male,470,474,944,80221,51699.0,40341.0
18,0020,adams 12 five star schools,6956,pathways future center,Male,426,418,844,80241,90253.0,33242.0
19,0020,adams 12 five star schools,6060,mountain range high school,Male,508,501,1009,80234,76996.0,26289.0
20,0020,adams 12 five star schools,5043,legacy high school,Male,554,564,1118,80020,91801.0,49118.0
21,0020,adams 12 five star schools,6802,prospect ridge academy,Female,594,564,1158,80023,126327.0,17186.0
22,0020,adams 12 five star schools,5043,legacy high school,Female,549,541,1090,80020,91801.0,49118.0
23,0020,adams 12 five star schools,6956,pathways future center,Female,443,419,862,80241,90253.0,33242.0
24,0020,adams 12 five star schools,4108,horizon high school,Male,508,527,1035,80601,68153.0,35764.0
25,0020,adams 12 five star schools,1519,stargate charter school,Female,626,590,1216,80023,126327.0,17186.0
