,District Number,District Name,School Number,School Name,2018 EBRW Mean SAT,2018 Math Mean SAT,2018 Overall Mean Score SAT,2017 EBRW Mean PSAT10,2017 Math Mean PSAT10,2017 Overall Mean Score PSAT10,Zip Code,Median Family Income,Population
0,0010,mapleton 1,0187,mapleton expeditionary school of the arts,472,467,939,412,430,842,80299,,
1,0010,mapleton 1,0212,mapleton early college high school,464,441,905,409,409,818,80229,54249.0,51224.0
2,0010,mapleton 1,0263,global leadership academy,443,438,880,410,404,814,80221,51699.0,40341.0
3,0010,mapleton 1,0309,academy high school,452,434,886,411,417,828,80229,54249.0,51224.0
4,0010,mapleton 1,0503,york international,495,477,972,466,444,910,80229,54249.0,51224.0
5,0010,mapleton 1,1796,colorado connections academy,500,462,962,466,441,907,80112,96200.0,30342.0
6,0020,adams 12 five star schools,0210,vantage point,403,383,786,386,393,779,80234,76996.0,26289.0
7,0020,adams 12 five star schools,4108,horizon high school,514,520,1033,477,481,958,80601,68153.0,35764.0
8,0020,adams 12 five star schools,5043,legacy high school,552,552,1103,510,514,1025,80020,91801.0,49118.0
9,0020,adams 12 five star schools,5816,thornton high school,443,428,871,416,416,832,80229,54249.0,51224.0
10,0020,adams 12 five star schools,6060,mountain range high school,512,490,1001,476,457,934,80234,76996.0,26289.0
11,0020,adams 12 five star schools,6402,northglenn high school,464,459,924,434,442,877,80221,51699.0,40341.0
12,0020,adams 12 five star schools,6802,prospect ridge academy,588,568,1156,536,522,1058,80023,126327.0,17186.0
13,0030,adams county 14,0022,lester r arnold high school,403,382,785,365,385,750,80022,61075.0,45663.0
14,0030,adams county 14,0024,adams city high school,441,430,871,406,413,820,80022,61075.0,45663.0
15,0040,school district 27j,1021,brighton heritage academy,400,389,789,378,398,776,80601,68153.0,35764.0
16,0040,school district 27j,1022,brighton high school,478,475,952,450,447,897,80601,68153.0,35764.0
17,0040,school district 27j,2399,eagle ridge academy,530,532,1062,494,478,973,80601,68153.0,35764.0
18,0040,school district 27j,7129,prairie view high school,463,465,929,441,436,876,80640,79167.0,11692.0
19,0050,bennett 29j,0775,bennett high school,484,456,940,452,442,894,80102,73732.0,5136.0
20,0060,strasburg 31j,8334,strasburg high school,503,471,974,463,445,908,80136,81620.0,5074.0
21,0070,westminster public schools,3931,hidden lake high school,415,394,809,398,400,798,80030,50744.0,16045.0
22,0070,westminster public schools,9466,westminster high school,443,425,868,406,410,817,80030,50744.0,16045.0
23,0100,alamosa re-11j,0118,alamosa high school,509,496,1005,463,460,923,81101,46353.0,15330.0
24,0110,sangre de cristo re-22j,7630,sangre de cristo undivided high school,467,460,927,448,436,884,81146,48828.0,652.0
25,0120,englewood 1,0206,colorado's finest high school of choice,476,461,936,430,427,857,80110,51846.0,21457.0
26,0120,englewood 1,2746,englewood high school,486,461,947,448,430,878,80113,77071.0,21165.0
27,0123,sheridan 2,7842,sheridan high school,451,437,888,413,419,832,80110,51846.0,21457.0
28,0130,cherry creek 5,1551,cherokee trail high school,552,539,1091,511,492,1003,80016,113784.0,45795.0
29,0130,cherry creek 5,1570,cherry creek high school,599,611,1210,558,562,1119,80111,118911.0,30537.0
30,0130,cherry creek 5,2357,eaglecrest high school,520,508,1027,484,474,959,80015,92390.0,64819.0
31,0130,cherry creek 5,3589,grandview high school,566,559,1124,526,517,1042,80016,113784.0,45795.0
32,0130,cherry creek 5,6625,overland high school,480,482,961,450,445,895,80012,49744.0,48382.0
33,0130,cherry creek 5,8020,smoky hill high school,520,508,1028,486,474,960,80015,92390.0,64819.0
34,0140,littleton 6,0298,arapahoe high school,569,568,1138,528,520,1049,80122,97581.0,31230.0
35,0140,littleton 6,3930,heritage high school,560,553,1113,521,510,1031,80120,77221.0,29957.0
36,0140,littleton 6,5224,littleton high school,534,518,1052,499,482,981,80121,106128.0,18616.0
37,0180,adams-arapahoe 28j,1458,aurora central high school,421,409,830,382,389,772,80010,37081.0,43999.0
38,0180,adams-arapahoe 28j,3354,gateway high school,438,417,854,415,410,825,80012,49744.0,48382.0
39,0180,adams-arapahoe 28j,4024,hinkley high school,443,438,881,416,426,843,80011,43118.0,47287.0
40,0180,adams-arapahoe 28j,5298,lotus school for excellence,513,534,1047,457,447,904,80012,49744.0,48382.0
41,0180,adams-arapahoe 28j,7250,rangeview high school,480,480,960,450,441,891,80013,75231.0,71619.0
42,0180,adams-arapahoe 28j,8356,william smith high school,457,429,886,425,423,848,80011,43118.0,47287.0
43,0180,adams-arapahoe 28j,9125,vista peak 9-12 preparatory,477,478,956,439,438,877,80018,101593.0,10512.0
44,0180,adams-arapahoe 28j,9189,vanguard classical school - east,482,462,944,452,428,880,80017,55864.0,33978.0
45,0180,adams-arapahoe 28j,9396,aurora west college preparatory academy,466,462,928,433,432,864,80010,37081.0,43999.0
46,0190,byers 32j,1176,byers junior-senior high school,497,462,959,453,430,883,80103,65278.0,2682.0
47,0190,byers 32j,1752,colorado virtual academy (cova),516,469,985,508,460,969,80228,86572.0,31455.0
48,0220,archuleta county 50 jt,6658,pagosa springs high school,507,487,994,476,451,927,81147,59750.0,11593.0
49,0290,las animas re-1,0443,aim global,428,408,837,423,413,836,81004,39455.0,25705.0
50,0290,las animas re-1,4990,las animas high school,448,407,855,422,405,827,81054,40804.0,4666.0
51,0310,mc clave re-2,5670,mc clave undivided high school,467,458,925,457,472,929,81057,49615.0,442.0
52,0470,st vrain valley re 1j,2761,erie high school,553,531,1084,511,491,1002,80516,112137.0,21987.0
53,0470,st vrain valley re 1j,3196,frederick senior high school,497,458,954,457,439,896,80504,85827.0,48431.0
54,0470,st vrain valley re 1j,5282,longmont high school,505,487,992,474,455,930,80501,52986.0,41201.0
55,0470,st vrain valley re 1j,5368,lyons middle/senior high school,554,538,1092,529,502,1031,80540,101090.0,4888.0
56,0470,st vrain valley re 1j,5722,mead high school,523,512,1035,492,471,963,80504,85827.0,48431.0
57,0470,st vrain valley re 1j,6276,niwot high school,579,557,1136,528,506,1034,80503,100833.0,32657.0
58,0470,st vrain valley re 1j,6498,olde columbine high school,427,392,820,395,404,799,80501,52986.0,41201.0
59,0470,st vrain valley re 1j,7789,silver creek high school,564,544,1108,517,498,1015,80503,100833.0,32657.0
60,0470,st vrain valley re 1j,7954,skyline high school,487,475,962,454,447,902,80504,85827.0,48431.0
61,0470,st vrain valley re 1j,8927,twin peaks charter academy,529,517,1046,476,470,946,80501,52986.0,41201.0
62,0480,boulder valley re 2,0924,boulder high school,580,559,1140,544,525,1068,80302,111399.0,28003.0
63,0480,boulder valley re 2,1070,broomfield high school,538,537,1075,502,492,994,80020,91801.0,49118.0
64,0480,boulder valley re 2,1380,centaurus high school,559,553,1112,529,515,1044,80026,86082.0,27389.0
65,0480,boulder valley re 2,2892,fairview high school,611,612,1222,571,565,1136,80305,126058.0,17401.0
66,0480,boulder valley re 2,5999,monarch high school,577,564,1140,533,520,1052,80027,119674.0,31946.0
67,0480,boulder valley re 2,6195,new vista high school,564,504,1068,512,468,980,80302,111399.0,28003.0
68,0480,boulder valley re 2,6212,nederland middle-senior high school,521,508,1029,498,491,989,80466,94674.0,3269.0
69,0480,boulder valley re 2,6816,peak to peak charter school,631,618,1249,590,565,1155,80026,86082.0,27389.0
70,0490,buena vista r-31,1130,buena vista high school,519,495,1013,488,465,953,81211,56250.0,7364.0
71,0500,salida r-32,7568,salida high school,541,521,1062,520,489,1009,81201,56779.0,8888.0
72,0540,clear creek re-1,4216,clear creek high school,544,525,1068,480,464,944,80439,117369.0,23746.0
73,0550,north conejos re-1j,1378,centauri high school,503,511,1015,483,470,953,81140,57308.0,2718.0
74,0560,sanford 6j,7616,sanford junior/senior high school,541,497,1038,489,472,961,81151,54821.0,1362.0
75,0770,crowley county re-1-j,2058,crowley county junior and senior high school,490,478,968,456,447,903,81063,41875.0,2478.0
76,0860,custer county school district c-1,2092,custer county high school,507,498,1005,475,446,921,81252,38542.0,3756.0
77,0870,delta county 50(j),1372,cedaredge high school,527,500,1027,499,481,980,81413,46949.0,5016.0
78,0870,delta county 50(j),2164,delta high school,497,483,980,454,461,915,81416,53020.0,13787.0
79,0870,delta county 50(j),2166,vision charter academy,470,447,917,457,432,889,81416,53020.0,13787.0
80,0870,delta county 50(j),4128,hotchkiss high school,501,468,969,467,449,916,81419,57188.0,3789.0
81,0870,delta county 50(j),6708,paonia high school,545,514,1059,494,454,948,,,
82,0880,denver county 1,0010,abraham lincoln high school,427,433,860,391,417,808,80219,41218.0,65449.0
83,0880,denver county 1,0040,ridge view academy charter school,429,412,841,390,389,778,80137,106250.0,1153.0
84,0880,denver county 1,1295,collegiate preparatory academy,439,438,876,403,407,810,80239,45593.0,43211.0
85,0880,denver county 1,1319,career education center early college,460,462,922,440,427,866,80211,75067.0,32797.0
86,0880,denver county 1,1489,compassion road academy,478,431,908,408,405,813,80204,37418.0,31133.0
87,0880,denver county 1,2145,dsst: green valley ranch high school,541,570,1111,484,499,983,80249,72969.0,27505.0
88,0880,denver county 1,2175,dsst: cole high school,518,529,1047,501,501,1002,80205,51140.0,30956.0
89,0880,denver county 1,2183,denver center for international studies,550,517,1067,506,474,980,80204,37418.0,31133.0
90,0880,denver county 1,2184,denver school of the arts,617,583,1200,578,532,1110,80220,90430.0,36162.0
91,0880,denver county 1,2185,dsst: stapleton high school,571,593,1164,530,537,1067,80238,155777.0,11965.0
92,0880,denver county 1,2209,dcis at montbello,436,451,888,392,422,814,80239,45593.0,43211.0
93,0880,denver county 1,2398,east high school,561,546,1107,515,498,1013,80206,129514.0,21295.0
94,0880,denver county 1,2755,venture prep high school,466,428,894,430,418,848,,,
95,0880,denver county 1,2757,high tech early college,446,447,893,409,419,827,80239,45593.0,43211.0
96,0880,denver county 1,3378,george washington high school,520,507,1027,471,464,936,80224,68884.0,17454.0
97,0880,denver county 1,3540,girls athletic leadership school high school,508,481,989,466,437,903,80204,37418.0,31133.0
