,2018 EBRW Mean SAT,2018 Math Mean SAT,2018 Overall Mean Score SAT,2017 EBRW Mean PSAT10,2017 Math Mean PSAT10,2017 Overall Mean Score PSAT10
275,491.0,462.0,954.0,450.0,439.0,889.0
143,500.0,485.0,984.0,461.0,449.0,910.0
252,500.0,490.0,991.0,464.0,465.0,929.0
160,561.0,554.0,1115.0,528.0,519.0,1046.0
65,611.0,612.0,1222.0,571.0,565.0,1136.0
201,645.0,652.0,1297.0,592.0,591.0,1183.0
82,427.0,433.0,860.0,391.0,417.0,808.0
303,523.0,518.0,1042.0,490.0,476.0,966.0
58,427.0,392.0,820.0,395.0,404.0,799.0
274,497.0,522.0,1019.0,472.0,487.0,959.0
31,566.0,559.0,1124.0,526.0,517.0,1042.0
272,570.0,563.0,1134.0,509.0,508.0,1017.0
136,489.0,464.0,953.0,464.0,424.0,888.0
334,433.0,406.0,839.0,425.0,394.0,819.0
238,477.0,448.0,925.0,442.0,434.0,877.0
100,472.0,474.0,945.0,457.0,436.0,893.0
116,442.0,451.0,894.0,413.0,418.0,831.0
219,449.0,444.0,893.0,409.0,426.0,835.0
93,561.0,546.0,1107.0,515.0,498.0,1013.0
1,464.0,441.0,905.0,409.0,409.0,818.0
257,478.0,466.0,944.0,460.0,446.0,906.0
191,435.0,420.0,855.0,411.0,409.0,819.0
145,438.0,411.0,849.0,405.0,404.0,809.0
45,466.0,462.0,928.0,433.0,432.0,864.0
265,471.0,457.0,928.0,431.0,437.0,868.0
80,501.0,468.0,969.0,467.0,449.0,916.0
111,404.0,403.0,807.0,372.0,385.0,757.0
134,506.0,500.0,1006.0,462.0,467.0,929.0
221,504.0,511.0,1016.0,475.0,464.0,939.0
35,560.0,553.0,1113.0,521.0,510.0,1031.0
59,564.0,544.0,1108.0,517.0,498.0,1015.0
16,478.0,475.0,952.0,450.0,447.0,897.0
30,520.0,508.0,1027.0,484.0,474.0,959.0
85,460.0,462.0,922.0,440.0,427.0,866.0
193,528.0,518.0,1046.0,489.0,481.0,970.0
227,659.0,663.0,1322.0,598.0,594.0,1192.0
108,535.0,499.0,1035.0,489.0,466.0,955.0
158,495.0,448.0,943.0,484.0,443.0,927.0
307,512.0,507.0,1019.0,469.0,462.0,931.0
27,451.0,437.0,888.0,413.0,419.0,832.0
306,502.0,501.0,1004.0,464.0,470.0,934.0
289,495.0,463.0,957.0,474.0,428.0,902.0
216,509.0,461.0,970.0,469.0,441.0,910.0
172,403.0,400.0,803.0,408.0,377.0,785.0
112,460.0,459.0,920.0,408.0,428.0,836.0
195,538.0,525.0,1062.0,499.0,484.0,983.0
328,474.0,464.0,938.0,446.0,438.0,885.0
8,552.0,552.0,1103.0,510.0,514.0,1025.0
323,598.0,579.0,1177.0,565.0,544.0,1109.0
262,467.0,451.0,918.0,442.0,439.0,881.0
198,554.0,501.0,1055.0,496.0,452.0,948.0
270,508.0,484.0,992.0,475.0,458.0,933.0
154,628.0,615.0,1243.0,582.0,556.0,1137.0
315,465.0,464.0,929.0,447.0,444.0,891.0
159,593.0,575.0,1167.0,546.0,530.0,1077.0
297,517.0,520.0,1038.0,482.0,480.0,962.0
40,513.0,534.0,1047.0,457.0,447.0,904.0
28,552.0,539.0,1091.0,511.0,492.0,1003.0
244,495.0,464.0,959.0,448.0,433.0,881.0
210,393.0,389.0,782.0,376.0,396.0,772.0
68,521.0,508.0,1029.0,498.0,491.0,989.0
170,500.0,471.0,971.0,473.0,451.0,925.0
142,433.0,391.0,824.0,402.0,392.0,794.0
48,507.0,487.0,994.0,476.0,451.0,927.0
295,519.0,499.0,1018.0,477.0,484.0,961.0
214,521.0,513.0,1033.0,463.0,480.0,943.0
324,498.0,463.0,961.0,438.0,441.0,879.0
186,530.0,515.0,1045.0,476.0,469.0,946.0
173,494.0,465.0,959.0,464.0,437.0,901.0
231,537.0,524.0,1060.0,500.0,497.0,997.0
209,546.0,531.0,1077.0,510.0,496.0,1006.0
242,503.0,510.0,1012.0,493.0,477.0,970.0
267,515.0,508.0,1023.0,491.0,485.0,976.0
192,450.0,433.0,883.0,416.0,422.0,838.0
150,405.0,391.0,795.0,376.0,384.0,760.0
202,605.0,594.0,1200.0,540.0,534.0,1075.0
332,570.0,526.0,1095.0,535.0,471.0,1006.0
60,487.0,475.0,962.0,454.0,447.0,902.0
46,497.0,462.0,959.0,453.0,430.0,883.0
205,547.0,521.0,1067.0,484.0,471.0,955.0
263,478.0,447.0,925.0,452.0,449.0,902.0
279,481.0,460.0,941.0,449.0,439.0,889.0
10,512.0,490.0,1001.0,476.0,457.0,934.0
141,479.0,477.0,955.0,453.0,451.0,903.0
290,538.0,499.0,1037.0,502.0,475.0,976.0
32,480.0,482.0,961.0,450.0,445.0,895.0
204,553.0,547.0,1100.0,508.0,497.0,1005.0
78,497.0,483.0,980.0,454.0,461.0,915.0
174,507.0,483.0,990.0,465.0,446.0,912.0
102,438.0,433.0,871.0,421.0,411.0,832.0
243,479.0,490.0,969.0,453.0,449.0,902.0
184,507.0,500.0,1008.0,481.0,473.0,955.0
260,423.0,409.0,832.0,400.0,397.0,797.0
144,497.0,429.0,926.0,453.0,416.0,869.0
71,541.0,521.0,1062.0,520.0,489.0,1009.0
146,538.0,517.0,1055.0,499.0,470.0,968.0
280,425.0,398.0,823.0,426.0,409.0,835.0
329,633.0,610.0,1243.0,589.0,556.0,1145.0
148,452.0,406.0,858.0,397.0,385.0,782.0
239,485.0,485.0,970.0,450.0,454.0,904.0
166,488.0,471.0,959.0,455.0,438.0,893.0
153,582.0,585.0,1167.0,533.0,539.0,1072.0
256,489.0,471.0,960.0,451.0,450.0,901.0
73,503.0,511.0,1015.0,483.0,470.0,953.0
128,585.0,570.0,1155.0,539.0,522.0,1061.0
168,574.0,568.0,1141.0,533.0,523.0,1056.0
237,520.0,483.0,1002.0,484.0,458.0,942.0
6,403.0,383.0,786.0,386.0,393.0,779.0
164,600.0,570.0,1169.0,558.0,515.0,1073.0
161,535.0,517.0,1052.0,495.0,481.0,976.0
69,631.0,618.0,1249.0,590.0,565.0,1155.0
321,562.0,545.0,1107.0,529.0,506.0,1036.0
138,547.0,544.0,1091.0,519.0,504.0,1023.0
183,465.0,463.0,928.0,425.0,426.0,852.0
283,547.0,544.0,1090.0,497.0,513.0,1010.0
245,446.0,419.0,865.0,411.0,415.0,826.0
127,529.0,528.0,1058.0,497.0,486.0,982.0
188,510.0,500.0,1011.0,483.0,466.0,949.0
318,528.0,500.0,1028.0,487.0,466.0,953.0
200,545.0,534.0,1079.0,502.0,490.0,992.0
64,559.0,553.0,1112.0,529.0,515.0,1044.0
247,473.0,463.0,936.0,451.0,445.0,895.0
20,503.0,471.0,974.0,463.0,445.0,908.0
253,416.0,400.0,816.0,381.0,383.0,764.0
139,464.0,445.0,909.0,437.0,415.0,852.0
22,443.0,425.0,868.0,406.0,410.0,817.0
109,493.0,483.0,977.0,452.0,446.0,899.0
228,577.0,499.0,1075.0,500.0,469.0,969.0
131,506.0,493.0,999.0,469.0,461.0,929.0
232,547.0,533.0,1080.0,500.0,484.0,984.0
249,471.0,437.0,908.0,477.0,439.0,916.0
287,479.0,474.0,953.0,477.0,460.0,938.0
177,475.0,457.0,932.0,439.0,426.0,865.0
212,497.0,489.0,987.0,459.0,454.0,914.0
41,480.0,480.0,960.0,450.0,441.0,891.0
2,443.0,438.0,880.0,410.0,404.0,814.0
67,564.0,504.0,1068.0,512.0,468.0,980.0
246,478.0,455.0,933.0,449.0,434.0,883.0
288,469.0,449.0,918.0,437.0,427.0,864.0
296,483.0,457.0,940.0,478.0,448.0,926.0
299,469.0,453.0,922.0,445.0,430.0,875.0
83,429.0,412.0,841.0,390.0,389.0,778.0
235,503.0,477.0,980.0,474.0,449.0,923.0
176,490.0,464.0,954.0,461.0,442.0,903.0
298,507.0,503.0,1010.0,472.0,464.0,936.0
95,446.0,447.0,893.0,409.0,419.0,827.0
84,439.0,438.0,876.0,403.0,407.0,810.0
234,538.0,521.0,1058.0,503.0,477.0,980.0
89,550.0,517.0,1067.0,506.0,474.0,980.0
135,484.0,453.0,938.0,451.0,416.0,867.0
26,486.0,461.0,947.0,448.0,430.0,878.0
118,534.0,517.0,1051.0,500.0,485.0,985.0
225,586.0,586.0,1172.0,544.0,539.0,1083.0
119,543.0,546.0,1090.0,504.0,500.0,1004.0
305,549.0,524.0,1074.0,522.0,487.0,1009.0
230,422.0,392.0,814.0,393.0,399.0,792.0
86,478.0,431.0,908.0,408.0,405.0,813.0
196,561.0,574.0,1135.0,516.0,523.0,1039.0
254,480.0,451.0,931.0,451.0,442.0,892.0
3,452.0,434.0,886.0,411.0,417.0,828.0
259,464.0,469.0,933.0,444.0,452.0,896.0
224,548.0,531.0,1079.0,514.0,506.0,1020.0
301,456.0,455.0,911.0,427.0,430.0,857.0
126,573.0,576.0,1149.0,521.0,514.0,1035.0
302,538.0,520.0,1058.0,531.0,491.0,1022.0
220,544.0,525.0,1068.0,505.0,478.0,983.0
125,570.0,565.0,1135.0,525.0,517.0,1042.0
52,553.0,531.0,1084.0,511.0,491.0,1002.0
13,403.0,382.0,785.0,365.0,385.0,750.0
278,470.0,457.0,927.0,436.0,429.0,865.0
157,527.0,473.0,1000.0,492.0,458.0,950.0
317,472.0,456.0,928.0,459.0,439.0,898.0
87,541.0,570.0,1111.0,484.0,499.0,983.0
15,400.0,389.0,789.0,378.0,398.0,776.0
281,500.0,491.0,991.0,471.0,456.0,927.0
7,514.0,520.0,1033.0,477.0,481.0,958.0
56,523.0,512.0,1035.0,492.0,471.0,963.0
105,424.0,419.0,843.0,402.0,414.0,817.0
180,502.0,485.0,987.0,454.0,463.0,917.0
149,503.0,502.0,1005.0,480.0,470.0,949.0
0,472.0,467.0,939.0,412.0,430.0,842.0
292,532.0,529.0,1061.0,478.0,477.0,955.0
55,554.0,538.0,1092.0,529.0,502.0,1031.0
277,480.0,468.0,948.0,475.0,460.0,935.0
92,436.0,451.0,888.0,392.0,422.0,814.0
120,527.0,529.0,1056.0,493.0,488.0,980.0
171,432.0,400.0,832.0,413.0,397.0,810.0
110,480.0,480.0,960.0,445.0,441.0,887.0
19,484.0,456.0,940.0,452.0,442.0,894.0
269,570.0,526.0,1097.0,519.0,490.0,1009.0
104,393.0,390.0,782.0,386.0,384.0,770.0
101,461.0,420.0,882.0,447.0,416.0,863.0
218,470.0,448.0,918.0,447.0,449.0,897.0
18,463.0,465.0,929.0,441.0,436.0,876.0
156,549.0,542.0,1091.0,522.0,507.0,1029.0
133,508.0,495.0,1002.0,480.0,462.0,943.0
199,562.0,549.0,1110.0,527.0,512.0,1040.0
236,515.0,488.0,1003.0,479.0,471.0,951.0
151,445.0,425.0,870.0,419.0,413.0,831.0
34,569.0,568.0,1138.0,528.0,520.0,1049.0
213,572.0,579.0,1151.0,525.0,525.0,1050.0
72,544.0,525.0,1068.0,480.0,464.0,944.0
248,497.0,481.0,979.0,466.0,451.0,917.0
175,468.0,448.0,916.0,454.0,440.0,894.0
189,471.0,443.0,915.0,408.0,412.0,821.0
206,497.0,463.0,960.0,452.0,430.0,882.0
81,545.0,514.0,1059.0,494.0,454.0,948.0
251,521.0,498.0,1019.0,481.0,465.0,946.0
300,509.0,513.0,1022.0,479.0,464.0,944.0
132,642.0,597.0,1239.0,553.0,536.0,1088.0
308,465.0,448.0,913.0,428.0,424.0,852.0
24,467.0,460.0,927.0,448.0,436.0,884.0
327,407.0,405.0,812.0,368.0,393.0,762.0
291,547.0,547.0,1094.0,510.0,513.0,1023.0
167,550.0,542.0,1092.0,517.0,503.0,1020.0
49,428.0,408.0,837.0,423.0,413.0,836.0
76,507.0,498.0,1005.0,475.0,446.0,921.0
98,455.0,444.0,899.0,425.0,429.0,854.0
264,508.0,471.0,979.0,483.0,452.0,936.0
320,534.0,498.0,1032.0,494.0,463.0,956.0
271,494.0,479.0,973.0,471.0,460.0,932.0
152,510.0,495.0,1005.0,470.0,451.0,921.0
194,514.0,510.0,1024.0,473.0,467.0,940.0
94,466.0,428.0,894.0,430.0,418.0,848.0
113,525.0,516.0,1042.0,480.0,474.0,954.0
36,534.0,518.0,1052.0,499.0,482.0,981.0
9,443.0,428.0,871.0,416.0,416.0,832.0
66,577.0,564.0,1140.0,533.0,520.0,1052.0
190,423.0,401.0,824.0,398.0,386.0,783.0
211,537.0,471.0,1008.0,503.0,452.0,955.0
178,492.0,514.0,1006.0,447.0,473.0,921.0
107,453.0,438.0,891.0,405.0,407.0,812.0
17,530.0,532.0,1062.0,494.0,478.0,973.0
165,449.0,443.0,893.0,425.0,431.0,856.0
124,622.0,610.0,1232.0,573.0,563.0,1136.0
79,470.0,447.0,917.0,457.0,432.0,889.0
312,509.0,519.0,1028.0,483.0,470.0,954.0
285,498.0,512.0,1010.0,473.0,489.0,962.0
33,520.0,508.0,1028.0,486.0,474.0,960.0
117,418.0,432.0,850.0,401.0,409.0,810.0
330,511.0,521.0,1032.0,480.0,488.0,968.0
155,560.0,518.0,1078.0,488.0,482.0,971.0
241,523.0,476.0,999.0,502.0,467.0,969.0
286,500.0,476.0,975.0,464.0,444.0,908.0
208,435.0,414.0,849.0,403.0,397.0,800.0
268,512.0,510.0,1022.0,496.0,477.0,973.0
61,529.0,517.0,1046.0,476.0,470.0,946.0
37,421.0,409.0,830.0,382.0,389.0,772.0
207,594.0,574.0,1167.0,553.0,538.0,1091.0
255,478.0,459.0,937.0,443.0,430.0,872.0
70,519.0,495.0,1013.0,488.0,465.0,953.0
311,458.0,435.0,893.0,429.0,423.0,852.0
12,588.0,568.0,1156.0,536.0,522.0,1058.0
223,629.0,571.0,1200.0,580.0,517.0,1097.0
304,503.0,501.0,1004.0,469.0,460.0,929.0
284,540.0,497.0,1037.0,498.0,475.0,973.0
293,432.0,420.0,852.0,405.0,411.0,816.0
51,467.0,458.0,925.0,457.0,472.0,929.0
326,388.0,377.0,765.0,376.0,370.0,745.0
121,547.0,551.0,1098.0,502.0,501.0,1003.0
310,428.0,415.0,843.0,384.0,390.0,774.0
233,557.0,529.0,1086.0,489.0,480.0,969.0
129,554.0,563.0,1117.0,507.0,504.0,1011.0
240,522.0,474.0,996.0,490.0,448.0,938.0
147,524.0,501.0,1025.0,486.0,466.0,952.0
77,527.0,500.0,1027.0,499.0,481.0,980.0
294,561.0,555.0,1117.0,528.0,526.0,1054.0
222,433.0,412.0,845.0,411.0,407.0,818.0
