,Mean Score Math,Mean Score EBRW,Median Family Income,Gend_Female,Gend_Male,Ethn_Asian,Ethn_Black,Ethn_Hispanic,Ethn_Two or More Races,Ethn_White,FRL_FRL Eligible,FRL_Not FRL Eligible,ELL_English Learners,ELL_Not English Learners,IEP_Students with IEPs,IEP_Students without IEPs
366,-2.0989235073038266,-1.8643965695628675,-1.5438210946059534,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
653,1.1905870231284337,0.8080678005253473,-0.021897745558904707,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,1.097645560806486,0.7731239069673718,-0.3800875011495639,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
461,1.9449683323705473,1.8899759870611053,1.5925371210883437,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
479,-0.6138887871426634,-0.22382470034433438,0.8180052086953915,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
687,-1.5193355405022184,-1.592638007558894,-1.0942893218555507,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
442,0.2580019829516352,0.1258704221383627,-0.3512129385507222,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
579,-0.5856572649320763,-0.35132288063957223,-0.7618285759549208,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
177,1.2384843982985774,1.4374390393464895,1.44796267008716,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
345,0.08944435314729608,0.15963088210144374,-0.32629048088859347,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
99,0.3218214364230381,0.7165797566971859,-0.7310989436919076,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
613,-0.5537924685587241,-0.7693887731333362,-0.39222610916946804,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
193,0.07452105422133001,-0.3784006481024456,-1.134616923250581,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
367,-1.5763688894635406,-1.3150873917407475,-1.5438210946059534,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
431,-0.23698713512401434,-0.03749570141446523,0.16324627244567944,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
122,0.4222988031046945,1.3091619411256963,1.3517813407600126,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
118,1.7768126259925217,1.8682804008162956,1.9429436496097618,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
646,-1.739561722910797,-1.7212753033945505,0.32052391788629764,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
265,0.15911484013308597,0.2184081839119286,2.0823158400309865,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
19,0.9342019430744295,1.2380727219617225,1.7555816135284512,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
273,-0.8123492819502984,-0.7344918366551663,-0.3512129385507222,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
317,0.2776785690117857,0.4002869951003653,1.5858024116553735,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
373,-0.9926470975456265,-0.6221535450284144,-1.0008905970246604,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
437,-0.08172657324314511,-0.12511643172865008,-0.3512129385507222,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
50,-2.2680104971858515,-1.8637460183530037,-0.9529410789659695,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
